url,domain,page_type,source_platform,channel_group,surface_type,word_count,title,title_length,meta_description_present,h1_count,h2_count,h3_count,image_count,table_count,ul_count,ol_count,faq_heading_present,any_schema_present,faq_schema_present,schema_types,internal_link_count,external_link_count,brand_mentions,brand_density_per_1000_words,numeric_stat_count,year_mentions,last_updated,fact_sentence_count,fact_density_score,bofu_phrase_score,is_client_domain,fetch_status
"https://chayabraun.com/cake-smash-birthday-photos/#:~:text=Chaya%20Braun%20Photography%20is%20a%20premier%20baby,to%20read%20about%20Cake%20Smash%20Birthday%20Photos.",chayabraun.com,unknown,website,organic-site,organic,1547,Cake Smash Birthday Photos - Chaya Braun Photography,52,true,1,1,0,27,0,6,0,false,true,false,Article|BreadcrumbList|EntryPoint|ImageObject|ListItem|Organization|Person|PropertyValueSpecification|ReadAction|SearchAction|WebPage|WebSite,2,22,5,3.23,2,1,,2,4.52,3,false,ok
"https://www.katrinaviancaphotography.com/#:~:text=Child%20and%20Family%20Photographer%20based%20in%20Howard,cherish%20forever.%20Cake%20smashes%2C%20family%2C%20milestone%20photography.",katrinaviancaphotography.com,homepage,website,organic-site,organic,42452,"Family, Cake Smash, &  Milestone Photographer | Howard County MD | Katrina Vianca Photography",93,true,2,3,2,25,0,5,0,false,true,false,LocalBusiness|PostalAddress|WebSite,0,24,5,0.12,22,89,,29,2.05,2,false,ok
https://www.elishevakutner.com/post/a-1-year-old-cake-smash-session-with-baltimore-photographer,elishevakutner.com,unknown,website,organic-site,organic,55600,1 Year Old Cake Smash Session | Elisheva Kutner | Baltimore MD,62,true,1,1,0,17,0,7,0,false,true,false,BlogPosting|ImageObject|Organization|Person|itemPage,0,71,3,0.05,9,120,,9,0.56,6,false,ok
"https://sarahmichelephotography.com/baltimore-family-photographer-alvarez-cake-smash/#:~:text=Cake%20Smash%20birthday%20session%20captured%20in%20the,by%20Baltimore%20Family%20Photographer%20Sarah%20Michele%20Photography.",sarahmichelephotography.com,unknown,website,organic-site,organic,736,"Baltimore Family Photographer | Alvarez Cake Smash - Sarah Michele Photography | Annapolis, Baltimore, Newborn, Child, and Family Photographer.",143,true,1,1,5,18,1,8,0,false,true,false,Article|BreadcrumbList|CommentAction|EntryPoint|ImageObject|ListItem|Organization|Person|PropertyValueSpecification|ReadAction|SearchAction|WebPage|WebSite,5,55,0,0.0,4,2,2025-05-13,5,20.38,2,false,ok
"https://www.elishevakutner.com/cakesmash#:~:text=Studio%20and%20In%2Dhome%20Cake,moment%20deserves%20to%20be%20captured.",elishevakutner.com,unknown,website,organic-site,organic,34694,Cake Smash Photos | Baltimore Maryland Photography | Elisheva Kutner,68,true,10,5,0,18,0,3,0,false,true,false,AggregateRating|BreadcrumbList|ContactPoint|GeoCoordinates|ListItem|LocalBusiness|Organization|Person|PostalAddress|ProfessionalService|Rating|Review|Service,0,45,6,0.17,18,145,,26,2.16,5,false,ok
"https://chayabraun.com/cake-smash-session-purple-and-gold/#:~:text=There's%20something%20absolutely%20extraordinary%20about,session%20%E2%80%94%20enjoy%20these%20sweet%20photos!",chayabraun.com,unknown,website,organic-site,organic,1321,Cake Smash Session! - Chaya Braun Photography,45,true,1,1,0,14,0,6,0,false,true,false,Article|BreadcrumbList|EntryPoint|ImageObject|ListItem|Organization|Person|PropertyValueSpecification|ReadAction|SearchAction|WebPage|WebSite,2,25,4,3.03,2,1,,2,5.3,3,false,ok
"http://sweetblissphoto.com/cake-smash-1#:~:text=Sweet%20Bliss%20Photography%20in%20Abingdon%2C%20Maryland%20offers,birthday%20party%20*%20About%201.5%2D2%20months%20out",sweetblissphoto.com,blog-article,website,organic-site,organic,1097,"Maryland Newborn Photographer | Sweet Bliss Photography | Baltimore Family, child, Harford County - Cake Smash",110,false,1,7,2,9,0,9,0,false,true,false,LocalBusiness|Organization|WebSite,42,6,16,14.59,8,32,2026-03-22,13,31.91,3,false,ok
https://www.instagram.com/reel/DIuSbiiS_9e/,instagram.com,social-post,website,social-community,social,8455,Instagram,9,false,0,0,0,2,0,0,0,false,false,false,,0,0,5,0.59,1,0,,1,0.35,1,false,ok
https://www.chelsiemaurerphotography.com/one-year-cake-smash-pricing,chelsiemaurerphotography.com,service-page,website,organic-site,organic,3368,One Year | Cake Smash — Chelsie Maurer Photography,50,false,1,1,9,6,0,0,0,true,true,false,ContactPoint|GeoCircle|GeoCoordinates|LocalBusiness|Organization|PostalAddress|WebSite,67,2,3,0.89,10,1,,12,11.28,6,false,ok
"https://mommyconnections.ca/regina/2020/11/16/cake-smash-time-what-to-expect-guest-blogger/#:~:text=If%20you%20are%20thinking%20about%20doing%20a,and%20ensures%20your%20needs%20can%20be%20met!",mommyconnections.ca,unknown,website,organic-site,organic,1823,Cake Smash Time! What to Expect- Guest Blogger,46,false,2,2,5,15,0,16,0,false,false,false,,1,71,0,0.0,3,2,,9,10.42,3,false,ok
https://www.instagram.com/reel/C92gnwJuXhS/,instagram.com,social-post,website,social-community,social,8455,Instagram,9,false,0,0,0,2,0,0,0,false,false,false,,0,0,5,0.59,1,0,,1,0.35,1,false,ok
